#,URSI,STATION NAME,LAT,LONG
01,AH223,AHMEDABAD,23.00,72.50
02,AL945,ALPENA,45.07,276.44
03,AN438,ANYANG,37.39,126.95
04,AS00Q,ASCENSION ISLAND,-7.95,345.60
05,AT138,ATHENS,38.00,23.50
06,AU930,AUSTIN,30.40,262.30
07,BP440,BEIJING,40.30,116.20
08,BLJ03,BELEM,1.43,311.56
09,BJJ32,BERMUDA,32.40,295.30
10,BVJ03,BOA VISTA,2.80,299.30
11,BC840,BOULDER,40.00,254.70
12,BR52P,BRISBANE,-27.06,153.06
13,BV53Q,BUNDOORA,-37.70,145.05
14,CXM9B,CACHIMBO,-9.50,305.20
15,CAJ2M,CACHOEIRA PAULISTA,-22.70,315.00
16,CN53L,CAMDEN,-34.05,150.67
17,CGK21,CAMPO GRANDE,-20.50,305.00
18,CB53N,CANBERRA,-35.32,149.00
19,CH833,CHERRY,32.90,253.59
20,RL052,CHILTON,51.50,359.40
21,CS31K,COCOS_ISLAND,-12.18,96.83
22,CO764,COLLEGE AK,64.90,212.00
23,CS839,COLORADO_SPRINGS,39.00,255.12
24,DW41K,DARWIN,-12.45,130.95
25,DB049,DOURBES,50.10,4.60
26,DS932,DYESS AFB,32.40,260.20
27,EA653,EARECKSON,52.73,185.92
28,EG931,EGLIN AFB,30.50,273.50
29,EI764,EIELSON,64.66,212.93
30,TR170,EISCAT TROMSO,69.58,19.22
31,EA036,EL ARENOSILLO,37.10,353.30
32,MO156,ELEKTROUGLI,55.76,38.28
33,FF051,FAIRFORD,51.70,358.50
34,FZA0M,FORTALEZA,-3.90,321.60
35,GA313,GADANKI,13.46,79.17
36,GA762,GAKONA,62.38,215.00
37,GM037,GIBILMANNA,37.90,14.00
38,GSJ53,GOOSE BAY,53.30,299.70
39,GR13L,GRAHAMSTOWN,-33.30,26.50
40,GU513,GUAM,13.62,144.86
41,HA419,HAINAN,19.40,109.00
42,HAJ43,HANSCOM AFB,42.50,288.70
43,HE13N,HERMANUS,-34.42,19.22
44,HO54K,HOBART,-42.92,147.32
45,IC437,I-CHEON,37.14,127.54
46,AC843,IDAHO NATIONAL LAB,43.81,247.32
47,IF843,IDAHO NATIONAL LAB,43.81,247.32
48,IL008,ILORIN,8.50,4.50
49,IR352,IRKUTSK,52.40,104.30
50,JB57N,JANG BOGO,-74.62,164.24
51,JJ433,JEJU,33.43,126.30
52,JI91J,JICAMARCA,-12.00,283.20
53,JR055,JULIUSRUH,54.60,13.40
54,KL154,KALININGRAD,54.36,20.12
55,KI939,KENT IS,38.96,283.72
56,KB547,KHABAROVSK,47.52,134.77
57,KS759,KING SALMON,58.40,203.60
58,KR835,KIRTLAND,35.00,253.47
59,KI167,KIRUNA SWEDEN,67.86,20.43
60,TO535,KOKUBUNJI,35.70,139.50
61,KJ609,KWAJALEIN,9.00,167.20
62,LA42Q,LAVERTON,-28.30,122.80
63,LM42B,LEARMONTH,-21.80,114.10
64,LV12P,LOUISVALE,-28.50,21.20
65,LL721,LUALUALEI,21.43,201.85
66,MU12K,MADIMBO,-22.39,30.88
67,MA560,MAGADAN,60.09,150.93
68,ME929,MELROSE,29.71,278.00
69,MHJ45,MILLSTONE HILL,42.60,288.50
70,MH453,MOHE,52.00,122.52
71,MA155,MOSCOW,55.49,37.29
72,MO155,MOSCOW,55.47,37.30
73,MU230,MULTAN,33.03,72.01
74,MU834,MUNYO,33.56,253.35
75,NQJ61,NARSSARSSUAQ,61.20,314.60
76,NI135,NICOSIA,35.03,33.16
77,ND61R,NIUE,-19.07,190.07
78,NDA81,NORD GREENLAND,81.40,342.50
79,NI63_,NORFOLK,-29.03,167.97
80,NO369,NORILSK,69.20,88.00
81,NV355,NOVOSIBIRSK,55.02,82.21
82,OK426,OKINAWA,26.68,128.15
83,OL246,OLSZTYN,53.80,20.50
84,SN437,OSAN AB,37.10,127.00
85,PE43K,PERTH,-32.00,116.13
86,PK553,PETROPAVLOVSK,52.97,158.24
87,PF765,POKER FLAT,65.13,212.55
88,PSJ5J,PORT STANLEY,-51.60,302.10
89,PQ052,PRUHONICE,50.00,14.60
90,PA836,PT ARGUELLO,34.80,239.50
91,SJJ18,PUERTO RICO,18.11,293.75
92,PRJ18,RAMEY,18.50,292.90
93,RM041,ROME,41.80,12.50
94,RO041,ROME,41.90,12.50
95,EB040,ROQUETES,40.80,0.50
96,RV149,ROSTOV,47.24,39.63
97,SH266,SALEKHARD,66.51,66.66
98,VT139,SAN VITO,40.60,17.80
99,SMK29,SANTA MARIA,-29.73,306.29
100,SA418,SANYA,18.34,109.42
101,SAA0K,SAOLUIS,-2.60,315.80
102,SMJ67,SONDRESTROM,66.98,309.06
103,SO148,SOPRON,47.63,16.72
104,SH42_,SOUTH HEDLAND,-20.40,118.50
105,SQ832,SQUIRT,32.42,253.71
106,LD160,ST. PETERSBURG,60.00,30.70
107,THJ76,THULE,76.54,291.56
108,THJ77,THULE/QAANAAQ,77.50,290.80
109,TV51R,TOWNSVILLE,-19.63,146.85
110,TM308,TRIVANDRUM,8.54,76.87
111,TR169,TROMSO,69.60,19.20
112,TUJ2O,TUCUMAN,-26.90,294.60
113,TNJ20,TUCUMAN AIS-INGV,-26.90,294.60
114,TZ362,TUNGUSKA,61.58,90.02
115,WA619,WAKE,19.29,166.65
116,WP937,WALLOPS IS,37.90,284.50
117,WI937,WALLOPS ISLAND,37.94,284.42
118,MZ152,WARSAW,52.20,21.10
119,WU430,WUHAN,30.50,114.40
120,XI434,XINXIANG CHINA,35.30,113.92
121,YA462,YAKUTSK,62.00,129.60
122,ZH466,ZHIGANSK,66.80,123.40
123,ZS36R,ZHONG SHAN,-69.40,76.40
