Time,ALPENA,ASCENSION ISLAND,ATHENS,AUSTIN,BOULDER,BRISBANE,CACHOEIRA PAULISTA,CANBERRA,CHILTON,COCOS_ISLAND,DARWIN,DOURBES,EARECKSON,EGLIN AFB,EIELSON,EISCAT TROMSO,EL ARENOSILLO,FORTALEZA,GAKONA,GRAHAMSTOWN,GUAM,HERMANUS,HOBART,I-CHEON,IDAHO NATIONAL LAB,JANG BOGO,JULIUSRUH,LEARMONTH,LUALUALEI,MILLSTONE HILL,NICOSIA,NIUE,NORFOLK,PERTH,POKER FLAT,PRUHONICE,PT ARGUELLO,ROME,ROQUETES,SAN VITO,SANTA MARIA,SAOLUIS,SOPRON,THULE,TOWNSVILLE,TROMSO,WAKE
2022-05-06 00:00:05+00:00,,,,285.0,264.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.9,,,,,,,,,,,,
2022-05-06 00:05:05+00:00,,,,281.5,272.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:10:05+00:00,,,,281.3,287.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:15:05+00:00,,,,278.1,273.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3,,,,,,,,,,,,
2022-05-06 00:20:05+00:00,,,,282.4,266.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:25:05+00:00,,,,282.8,270.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:30:05+00:00,,,,282.9,271.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.2,,,,,,,,,,,,
2022-05-06 00:35:05+00:00,,,,283.9,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:40:05+00:00,,,,277.4,278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:45:05+00:00,,,,275.6,271.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.3,,,,,,,,,,,,
2022-05-06 00:50:05+00:00,,,,277.7,263.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 00:55:05+00:00,,,,281.2,264.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:00:05+00:00,,,,279.9,268.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:05:05+00:00,,,,273.9,274.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:10:05+00:00,,,,278.9,278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:15:05+00:00,,,,281.7,271.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.4,,,,,,,,,,,,
2022-05-06 01:20:05+00:00,,,,275.0,268.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:25:05+00:00,,,,275.4,270.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:30:05+00:00,,,,281.1,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.4,,,,,,,,,,,,
2022-05-06 01:35:05+00:00,,,,282.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:40:05+00:00,,,,281.8,294.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:45:05+00:00,,,,275.3,297.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.7,,,,,,,,,,,,
2022-05-06 01:50:05+00:00,,,,272.3,286.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06 01:55:05+00:00,,,,271.2,296.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
